t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
31.859636306762695,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
65.10591506958008,266,348,272,200,421,204,418,352,9.420707843088275,189.92232521218,-14.19426019556509,-0.11932936660253735,0.032445446557060366,0.02519405288185443
100.2650260925293,266,348,272,200,421,205,418,352,9.51251026570375,190.24734588249024,-14.307197233710077,-0.13365552992125368,0.03891502556470155,0.05302167678874754
127.90989875793457,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
161.50450706481934,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
192.67821311950684,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
240.88788032531738,266,347,272,199,421,206,417,353,9.340248417402254,189.75875119048246,-14.330939471160184,-0.14122640598289446,0.05499541989869499,0.06543891890008485
272.174596786499,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
287.42027282714844,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
305.2177429199219,266,348,272,199,421,206,417,352,9.538834006542023,189.80282415643282,-14.346312778789118,-0.1392127303246848,0.05162343435366713,0.108242642852156
367.9351806640625,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
398.7393379211426,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
432.8038692474365,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
464.66946601867676,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
497.36547470092773,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
545.0687408447266,266,348,272,201,421,203,417,352,9.190624205808202,190.445923483986,-14.359181108327263,-0.07258553838361462,0.019668783660850044,-0.031234427964613478
575.9336948394775,266,348,272,199,421,206,417,352,9.538834006542023,189.80282415643282,-14.346312778789118,-0.1392127303246848,0.05162343435366713,0.108242642852156
587.2683525085449,266,348,272,199,421,206,417,352,9.538834006542023,189.80282415643282,-14.346312778789118,-0.1392127303246848,0.05162343435366713,0.108242642852156
609.1156005859375,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
642.3923969268799,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
672.1885204315186,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
707.547664642334,266,348,272,200,421,205,418,352,9.51251026570375,190.24734588249024,-14.307197233710077,-0.13365552992125368,0.03891502556470155,0.05302167678874754
767.4405574798584,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
800.5928993225098,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
833.1897258758545,266,348,272,200,421,204,418,352,9.420707843088275,189.92232521218,-14.19426019556509,-0.11932936660253735,0.032445446557060366,0.02519405288185443
884.3903541564941,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
913.6896133422852,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
930.5715560913086,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
946.7105865478516,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
976.1977195739746,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
1008.1284046173096,266,348,272,200,421,205,418,352,9.51251026570375,190.24734588249024,-14.307197233710077,-0.13365552992125368,0.03891502556470155,0.05302167678874754
1039.6041870117188,266,348,272,200,421,205,418,352,9.51251026570375,190.24734588249024,-14.307197233710077,-0.13365552992125368,0.03891502556470155,0.05302167678874754
1072.1516609191895,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
1104.478120803833,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
1168.4486865997314,266,348,272,200,421,204,418,352,9.420707843088275,189.92232521218,-14.19426019556509,-0.11932936660253735,0.032445446557060366,0.02519405288185443
1216.158151626587,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
1248.938798904419,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
1266.627311706543,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
1284.743309020996,266,348,273,200,421,205,417,352,9.512694249512274,190.20113877703488,-14.300828527277625,-0.13311785841416984,0.03893797477560677,0.05347040261772503
1313.3544921875,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
1344.0837860107422,266,348,272,200,421,205,418,352,9.51251026570375,190.24734588249024,-14.307197233710077,-0.13365552992125368,0.03891502556470155,0.05302167678874754
1376.6987323760986,266,348,272,200,421,205,417,352,9.418085591942063,190.43626461695538,-14.420557244951107,-0.1124922085432279,0.03888713818661772,0.052522506306913117
1408.266305923462,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
1442.9636001586914,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
1471.7228412628174,266,348,273,200,421,204,417,352,9.421387252644553,189.87634282931145,-14.187565783544503,-0.11912144017919121,0.03246296144963128,0.025442481316943044
1521.7864513397217,266,348,272,200,421,204,418,352,9.420707843088275,189.92232521218,-14.19426019556509,-0.11932936660253735,0.032445446557060366,0.02519405288185443
1553.0693531036377,266,348,272,200,421,204,417,352,9.324180200671602,190.05180926554917,-14.302855819290562,-0.09840406279778582,0.0324200098815733,0.02468295961510896
