t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
63.42816352844238,320,400,314,245,467,239,479,400,27.529985290967193,179.91688132474397,-30.752980016999587,0.0029001808928164285,-0.038707296876042886,-0.11832000549102166
97.16367721557617,319,400,314,246,467,239,479,401,27.35053488189332,180.27251797615043,-30.960317049625047,0.003745632622647201,-0.04539746826941411,-0.15702960490605097
128.77416610717773,319,400,314,246,467,239,479,401,27.35053488189332,180.27251797615043,-30.960317049625047,0.003745632622647201,-0.04539746826941411,-0.15702960490605097
140.52653312683105,318,401,313,245,467,239,478,401,27.0003315553066,178.85623004843677,-30.75505439237246,0.0008197630412225549,-0.03847773818179001,-0.11683464148945583
164.16430473327637,317,401,312,245,466,238,477,401,26.46184270897455,178.0255926976003,-30.556957831486784,0.017205510950405487,-0.044614503664648024,-0.1361087857383476
192.86632537841797,315,400,311,244,464,238,476,400,26.21635224798951,179.91981346683713,-30.353459085783356,-0.03756158596274424,-0.03896016559001392,-0.11833197789845382
228.96862030029297,312,401,308,244,462,237,474,401,24.987141557726716,178.11154262691318,-30.17298862604908,-0.02210456041308679,-0.04493479996582435,-0.13611448499997764
260.5421543121338,309,403,305,246,460,238,471,401,24.110255593616223,178.0263303712434,-30.74891309127224,0.007631837012755288,-0.05096787153024045,-0.11524548030865076
288.0241870880127,305,399,301,244,456,236,466,399,22.439558290713435,178.60729172145972,-29.985167880974885,0.024519904779396133,-0.051139328213948225,-0.15620174060828756
329.0698528289795,298,396,297,240,451,233,460,396,20.5315012300109,179.40306126475437,-28.618903873621072,-0.0349778592126856,-0.04528122654997207,-0.14032230592170794
352.4637222290039,288,393,289,235,444,228,453,393,17.38040821859512,177.7198012597459,-26.608994318727145,-0.07799560591329242,-0.04504203734910126,-0.14174424134856559
416.8076515197754,277,389,279,229,437,222,443,389,13.665387242613216,174.83705440951405,-24.45789941349119,-0.05041925881396575,-0.04383549276434428,-0.14197202024722472
432.9683780670166,265,384,266,221,429,215,433,383,9.736453306338527,171.65628036265403,-21.854179951449176,-0.016977542344091774,-0.03704722233617704,-0.10396201457929426
465.2135372161865,253,380,254,214,420,210,424,381,5.840902364441952,168.54052798752122,-19.78785879558341,-0.04146097779258627,-0.022549324693727297,-0.09734426627390826
496.9649314880371,241,379,243,211,411,205,412,378,2.0373517762809277,166.02330527021968,-18.588286874776486,0.0017152913015364684,-0.03539871041541429,-0.10331496788599931
530.1046371459961,229,375,232,206,401,200,404,375,-1.572211553297012,165.22939860604805,-16.710561534323574,-0.049987339390445105,-0.034025224401042664,-0.12055439703534193
560.6839656829834,217,371,220,198,391,195,393,371,-5.130067308641513,162.36460089840335,-14.675253480499576,-0.05724101765168655,-0.01642118599705843,-0.060644958195827076
593.0657386779785,206,370,208,195,381,190,384,367,-8.47045719579317,161.01823086605282,-13.40165018047136,-0.048070531352686005,-0.03134473468708224,-0.05438351089731238
629.6966075897217,194,366,197,188,374,186,374,363,-11.457641328780223,159.18029265430792,-11.835652248614846,-0.034412735275725706,-0.015398232367003061,0.005395442178399442
658.6871147155762,184,359,186,181,366,179,366,359,-14.607117226111091,157.67283879341963,-9.700589591221346,-0.021515221697681813,-0.009997599171052972,-0.0400940716410069
705.7430744171143,173,356,176,174,358,173,358,354,-17.13733638817547,155.43342412629553,-7.759541663356531,-0.03837686612139499,-0.00882621380516624,0.008810831009263824
736.4945411682129,164,351,167,168,351,165,352,348,-19.529664248650842,154.12966234537816,-5.505741417650721,-0.04742617187443063,-0.020386180587448215,-0.018247186045965456
769.2651748657227,154,339,159,153,347,155,345,338,-21.390483179485116,152.5729539317128,-1.8599945440561063,-0.042329536524114135,0.006123782097279637,0.05546481017080457
801.8980026245117,144,331,151,144,341,145,338,331,-23.69304235162555,150.7509797875577,0.9973870696140255,-0.05274901279101764,0.004094157729407674,0.021272081532119104
833.2645893096924,136,329,142,139,334,139,333,329,-25.523102354110176,147.8191269611577,2.273863634832476,-0.06261905016486939,-8.290255686068711e-16,-4.314987584772651e-15
864.8281097412109,126,328,133,135,327,134,327,328,-27.46550282043732,144.7799348703846,3.2652614623469773,-0.08416520152469832,-0.0036797355081995714,-0.019923611309659268
897.8455066680908,114,329,123,131,319,130,320,326,-29.33735692690212,141.5486658533341,4.142513513363559,-0.11417300594564327,-0.013345822098463977,0.00725957918238955
930.2589893341064,102,322,111,122,313,122,313,322,-31.715095620958863,139.55517375308435,5.999029970479229,-0.10053955888302381,5.921800242352471e-17,4.784712117664304e-16
960.8328342437744,93,320,100,116,307,116,308,318,-33.34284177974567,137.648462597823,7.16047408306988,-0.08628340955011697,-0.00585800794572315,0.022339492561142555
992.7728176116943,86,319,94,109,304,111,303,317,-33.906659573100185,134.62960088891708,7.859014949126109,-0.0691683506819321,-7.188142548405088e-05,0.05764689371043138
1039.8297309875488,86,319,88,111,299,113,299,318,-35.46783624927623,136.31970555788834,7.240277023611202,-0.018766570339114393,0.0029807312446055376,0.047443331491933895
1071.563959121704,83,318,85,109,297,111,297,317,-35.995269353186394,135.66222385653293,7.637579277173319,-0.018391072365905696,0.002853800958101696,0.04714569535994868
1104.3357849121094,78,319,84,107,295,107,295,314,-36.04309276605546,133.70422863990007,8.463801877898067,-0.06003654390317858,-0.014860074362451747,0.05407442363262863
1137.0668411254883,79,318,80,106,294,106,296,313,-36.365520388263555,134.12575434049526,8.570751488070893,-0.03116965702556054,-0.015122785291450402,0.0540684001619937
1177.6700019836426,80,315,82,105,295,107,296,313,-36.42756322002018,135.21415850262582,8.759371258097097,-0.028692518920005794,-0.0004600762975965992,0.058611538956537514
1201.3657093048096,83,315,85,106,296,108,298,312,-35.95038689005523,136.05557989141116,8.811496271187938,-0.040003602972992866,-0.00345504595963771,0.0711847870209155
1233.616590499878,86,319,87,108,299,108,299,313,-35.09072279565408,135.34788251392604,8.148878106060792,-0.01019417301812677,-0.01825317370164449,0.06672566634655881
1264.9738788604736,88,321,90,109,301,111,301,316,-34.29813539497318,135.04458785459371,7.466589170280277,-0.018229804679876026,-0.009044174878854401,0.09209654995763754
1295.9082126617432,92,321,90,113,302,111,303,316,-34.46290258186621,136.36945129295606,7.210857160915559,0.008406758462741653,-0.021038553169474766,0.019163865818710723
1330.618143081665,97,322,96,115,304,112,306,317,-33.45310987453409,136.48075642718402,7.042460487817545,-0.013265807867190704,-0.024172351938393014,-0.0007028634249129215
1377.0287036895752,104,324,102,120,307,118,312,319,-32.33806318351278,138.6590826153095,6.164046960915891,-0.035203065668235015,-0.021672593975358662,0.015780904118209156
1408.5886478424072,114,327,110,123,312,121,317,322,-30.38486525115518,138.87757213239797,5.1605735282431695,-0.012886981899926578,-0.022235083394550242,0.013052391137533738
1449.9115943908691,122,333,119,130,317,130,323,326,-28.494877728213154,140.95024432503214,3.3237641628576187,-0.037740022914612606,-0.01916780781933605,0.0859032676358562
1473.2680320739746,134,338,127,139,323,137,332,331,-26.503483683207996,143.13052082918915,1.3462495300349158,-0.027649566139436903,-0.02426689187245575,0.057463405311230994
1504.9395561218262,147,342,140,147,330,145,340,334,-23.956532627229624,146.4574603014655,-0.3135573804013285,-0.04162951897618152,-0.027293230790580103,0.06995210966812888
1537.0025634765625,160,341,154,154,339,152,349,337,-21.5268552538412,151.1638856526265,-1.5544243553723813,-0.05138421376252055,-0.017880062654472846,0.016361180999354873
1570.9831714630127,174,345,168,160,349,155,358,340,-18.1348663988731,152.2210117388688,-2.8826105031403033,-0.02815304409933192,-0.03295246053304808,-0.02991894809879853
1601.3081073760986,188,350,182,168,358,164,368,344,-14.613484312404527,155.6640532313951,-5.044142521389765,-0.04504201728536414,-0.03149394938200684,0.005656542803202443
1633.0490112304688,202,353,195,176,367,170,378,349,-11.416651271918749,158.49422584228233,-6.998603886861037,-0.030179414247807974,-0.037034771284005036,-0.06595345801566585
1682.0447444915771,216,357,210,184,378,177,388,353,-7.538706611295893,161.91595615410762,-9.15562923470332,-0.019596253232769097,-0.043163781738335676,-0.08804874330806521
1721.6427326202393,229,367,223,194,387,188,400,362,-3.489385129038552,163.21500968499578,-12.463777044918935,-0.06771286318492939,-0.040275070526724265,-0.04772653087833949
1743.781328201294,245,376,236,208,397,199,412,370,0.7513129933498117,167.4363259602268,-16.673832579915228,-0.021919030006578778,-0.05893075722471487,-0.08910917128198124
1776.5991687774658,258,379,250,217,407,208,421,375,4.748365193735251,172.74714533874558,-19.667151622010742,-0.009235538329785463,-0.05816851663889709,-0.12237371859613086
1809.4286918640137,269,378,262,221,416,213,430,377,8.437972510326144,177.4199162357224,-21.10812007953963,-0.023613634735917877,-0.05086712304469797,-0.15825893553594347
1840.872049331665,279,379,272,225,424,217,438,377,12.09990493515182,181.38404734489993,-22.49263990819805,-0.017354580650465534,-0.05293077168160039,-0.14107649380987639
1872.8582859039307,287,379,282,227,431,219,445,379,15.066690859586545,183.26655015449853,-23.161984839888053,-0.04586480461736839,-0.05235913477528694,-0.1826737140796574
1907.590389251709,294,381,290,228,438,223,449,381,17.74388169370366,183.37027953193277,-24.17404357555659,-0.05252354881518017,-0.032782913702355206,-0.11456459538689276
1936.6812705993652,301,385,296,235,442,227,456,385,20.118515802387087,185.874602909103,-26.32386505960205,-0.03509802338326925,-0.05355750160011716,-0.18058883305279683
1971.3315963745117,306,391,301,240,446,233,459,388,22.240414815644552,186.95499119437727,-28.52776401370711,-0.03572522122935237,-0.04768800573539732,-0.09230609958236986
2018.14603805542,310,392,304,244,449,237,462,391,23.578180023434378,188.91781579652348,-30.173838377271064,-0.007580019287237294,-0.04757388203512074,-0.1319212244279053
2049.4961738586426,312,395,306,247,451,239,464,394,24.212152316443124,188.05317450360678,-31.18750478805848,0.01250253379090821,-0.05390930228678881,-0.15012191878471295
2078.5062313079834,312,396,308,248,453,240,465,396,24.619783304620995,188.17045182183102,-31.61470545825354,-0.006854416463085502,-0.05421049912153941,-0.16984712166631707
