t,u,v,r,X,Y,Z
1423.168659210205,176,264,26.82,-52.83387044318954,-9.096161236711433,177.9161052466906
1455.5840492248535,176,267,26.83,-52.81417835580855,-10.229367309529472,177.8497928705271
1487.494707107544,175,271,26.86,-53.12154555682754,-11.731711304645417,177.6511519998601
1519.6781158447266,176,276,26.9,-52.67674369094214,-13.603664184122714,177.38698671807592
1550.771713256836,179,280,26.86,-51.656123610432296,-15.137692005994086,177.6511519998601
1583.16969871521,181,285,26.87,-50.90446086476082,-17.02356561931992,177.5850369451523
1616.271734237671,183,289,26.88,-50.1533573919656,-18.52987533181646,177.51897108319355
1664.5643711090088,184,293,26.95,-49.65795689521303,-19.990459727173526,177.0578828466138
1695.723533630371,183,297,26.96,-50.004534372998336,-21.491199197901576,176.9922085577241
1727.2727489471436,182,299,26.95,-50.388220967201455,-22.253530639683735,177.0578828466138
1759.1078281402588,178,299,26.95,-51.84874911117831,-22.253530639683735,177.0578828466138
1792.3424243927002,174,299,26.97,-53.26974497687919,-22.237028206877145,176.92658297056886
1823.3678340911865,174,299,26.95,-53.309277255155166,-22.253530639683735,177.0578828466138
1856.0266494750977,174,299,26.98,-53.250000816398504,-22.228786165288234,176.86100603099487
1888.181447982788,174,300,26.95,-53.309277255155166,-22.630709125102104,177.0578828466138
1919.6505546569824,175,300,26.96,-52.924507183100424,-22.622314945159555,176.9922085577241
1951.1172771453857,177,300,26.85,-52.4083462538659,-22.71499482016766,177.7173163022809
1999.9580383300781,183,301,26.83,-50.2468224635123,-23.110792810418438,177.8497928705271
2030.0769805908203,192,302,26.76,-47.06873958765466,-23.551103560745577,178.315020280876
2063.4498596191406,203,304,26.73,-43.07205683857666,-24.33810144592599,178.51514937210032
2095.698356628418,210,306,26.67,-40.586198751587766,-25.15513205900457,178.91675825707694
2127.8505325317383,210,306,26.65,-40.61665743733005,-25.174010206891253,179.05102974545
2160.3140830993652,208,305,26.62,-41.40174821355875,-24.820526364824445,179.25281527859661
2192.270517349243,206,305,26.63,-42.125240487608785,-24.811205851732137,179.18550291837184
2222.939968109131,205,305,26.65,-42.46286913902687,-24.792585809817144,179.05102974545
2256.110429763794,205,305,26.64,-42.47880865446945,-24.801892336022025,179.11824109295202
2287.292957305908,206,305,26.58,-42.20448285120474,-24.85787854897016,179.52257120828602
2336.561441421509,206,304,26.5,-42.331892610755546,-24.549337798098183,180.06452614023556
2367.664098739624,206,304,26.47,-42.37986982187465,-24.57716099922938,180.26860380492036
2399.096727371216,207,304,26.44,-42.05578085533199,-24.605047339243637,180.47314458079583
2431.9982528686523,208,304,26.18,-42.097575914626965,-24.84940609815133,182.2654676362201
2463.8450145721436,210,304,26.04,-41.56812291493264,-24.983005055668272,183.24538950523203
2495.7807064056396,210,304,26.02,-41.600073816481384,-25.002207980384387,183.38623915127755
2527.947425842285,211,304,25.95,-41.333087180531855,-25.069651315976948,183.88092264802475
2560.009717941284,212,304,25.86,-41.09641546654128,-25.15690068250587,184.52087945538446
2592.2369956970215,214,304,25.81,-40.41350977236225,-25.205635476544046,184.87833950857197
2640.4120922088623,219,305,25.58,-38.85344587077597,-25.82964862516133,186.54065452369986
2671.9143390655518,228,307,25.46,-35.55806638036342,-26.749895215855336,187.41987206269607
2704.301595687866,235,309,25.33,-33.02116902699346,-27.68978494116569,188.38175849649593
2736.0639572143555,239,309,25.39,-31.39287034161356,-27.62435023866589,187.93658695219543
2768.4326171875,240,309,25.35,-31.054227597772158,-27.667938956991197,188.23313383496023
