t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
1471.7638492584229,338,281,198,292,184,152,325,142,-7.179436443947053,47.87562942207384,4.718600990521508,-1.888125639271414,-0.6688358753418036,1.561407130601764
1520.127296447754,344,281,205,292,189,154,330,143,-6.648550363217874,48.43012870201984,4.374997111426977,-1.898540527721984,-0.6733137439950057,1.552199080557639
1554.187536239624,350,281,210,292,195,152,336,141,-6.18906618478491,49.730104186626946,4.333050577677084,-1.9000117001772223,-0.685573688113933,1.5411940471109662
1572.9269981384277,350,281,210,292,195,152,336,141,-6.18906618478491,49.730104186626946,4.333050577677084,-1.9000117001772223,-0.685573688113933,1.5411940471109662
1599.8151302337646,357,279,216,290,202,152,343,140,-5.664901748776707,51.3625393177865,4.221803625256603,-1.8968670828291376,-0.6986777744213577,1.5287937866126222
1625.6582736968994,363,279,224,291,208,151,350,141,-4.95465203926431,53.73453271590371,3.983233305740784,-1.907766362881694,-0.7107582592945443,1.5163310840949051
1654.1705131530762,369,278,230,289,216,150,356,139,-4.421156436244019,56.12529509607211,4.048238364335184,-1.9073416574571256,-0.7400808891236462,1.5066393754142522
1710.1199626922607,382,276,242,285,228,146,370,135,-3.167651846617038,62.17384834462767,4.245343624677902,-1.9107176724926571,-0.8161376517347653,1.485061659414947
1742.7687644958496,388,277,249,286,236,147,377,137,-2.244240956731312,67.69991620345945,4.1383298600254665,-1.9209370306332632,-0.8454997056372882,1.4745604068339067
1774.686574935913,395,278,256,289,243,150,383,138,-1.2143368841486808,73.25355132218237,3.901015529366609,-1.9578173260024407,-0.8800386808151845,1.4705264792935175
1806.506872177124,402,280,263,291,249,152,390,140,0.010714682962040811,79.42252870093238,3.5822932271637473,-1.9902735866085262,-0.9258761417292677,1.4655871043226687
1854.8684120178223,407,279,269,290,255,152,395,140,1.097460418311957,85.91310886281742,3.7709375106313265,-2.0169944580881634,-0.9823453188091567,1.4668176514919191
1886.6586685180664,412,278,273,288,261,150,400,139,2.2108060870698782,93.93089898421394,4.404941834765366,-2.0113349938227585,-1.0318129301551127,1.4690900337525952
1908.703088760376,412,278,273,288,261,150,400,139,2.2108060870698782,93.93089898421394,4.404941834765366,-2.0113349938227585,-1.0318129301551127,1.4690900337525952
1929.297685623169,416,278,277,287,266,150,406,139,3.4444761517458047,101.28042548117516,4.6791332950849815,-2.0339390948489005,-1.0913435013478365,1.4631057174273308
1954.6306133270264,419,277,280,286,269,150,409,139,4.3358106988589995,106.487408229945,4.992437914011319,-2.0564688479646316,-1.1286801528433068,1.469544185579491
1981.429100036621,421,277,282,286,272,149,412,138,5.202707588408765,112.11711390025782,5.359370815632967,-2.0737308304451054,-1.1604210863074396,1.4674399481812073
2013.589859008789,422,276,284,285,273,148,413,137,5.6116265072990945,114.08773653631982,5.6118616573372355,-2.1125526872531815,-1.1932359733651574,1.476882695209575
2045.6907749176025,423,276,283,284,274,148,413,136,5.464040395822263,113.26995810594077,5.904617369212155,-2.058414120535615,-1.1768078092080834,1.477123169440441
2110.522985458374,423,273,283,282,273,145,415,133,5.5764550133901825,113.95992157712708,6.436850981379033,-2.105066525738769,-1.2069985262310143,1.4669841302724154
2154.772996902466,422,273,282,282,274,144,414,134,5.740441483190795,117.81756271950178,6.822821098931195,-2.0408666862168907,-1.1793227704542022,1.4614543164080036
2190.9008026123047,422,273,283,282,273,144,414,133,5.55263462195612,114.82148982257793,6.547554299188195,-2.0956987379396534,-1.204580418351333,1.467750701843433
2228.9750576019287,423,273,283,282,273,145,413,133,5.39350168107941,113.17652900321089,6.498741132755266,-2.0786690022621843,-1.190485687482078,1.481853632620761
2254.713535308838,423,273,283,282,273,145,413,133,5.39350168107941,113.17652900321089,6.498741132755266,-2.0786690022621843,-1.190485687482078,1.481853632620761
2265.6354904174805,423,273,283,281,273,143,413,132,5.373764512841428,113.26394477746257,6.7523703438497575,-2.0629398985609475,-1.199673200907155,1.482989589165479
2286.755323410034,423,270,283,279,273,142,414,131,5.543264151741911,115.0590500266369,7.255038513317612,-2.0767959587619003,-1.2091595985143806,1.4784396107355362
2318.25852394104,423,264,283,272,273,136,414,127,5.538526047003342,116.79418946010226,8.862154730834455,-2.0320614456577775,-1.2355791319905665,1.4864788553600459
2354.9206256866455,422,256,282,263,0,0,0,0,5.538526047003342,116.79418946010226,8.862154730834455,-2.0320614456577775,-1.2355791319905665,1.4864788553600459
2381.662130355835,423,249,283,254,275,119,416,111,5.51587519941466,119.13316090177095,13.391020225962844,-1.8736580812290329,-1.3172243653417393,1.482921487068141
2414.018154144287,422,242,283,248,275,113,415,104,5.29840842284251,119.03222470343333,15.043740385069068,-1.8426532039154138,-1.3345720993750878,1.4900858095847838
2446.277379989624,423,234,283,239,275,102,416,102,6.420895954579039,131.7515593528587,18.878199536894424,-1.7004886877248917,-1.3349519259059637,1.5013081826008476
2524.087905883789,422,215,283,221,275,83,417,83,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2542.6082611083984,422,215,283,221,275,83,417,83,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2562.9653930664062,281,214,420,208,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2590.6119346618652,281,210,421,204,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2622.7614879608154,420,197,281,203,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2655.7328701019287,279,194,418,190,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2686.758518218994,279,190,418,184,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2725.923776626587,279,186,418,180,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2755.580425262451,419,177,279,183,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2790.0869846343994,279,181,419,175,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2830.965280532837,280,180,419,174,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2862.1902465820312,280,180,420,174,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2894.3002223968506,280,180,419,174,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2927.5810718536377,279,180,419,174,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2958.1406116485596,279,180,418,174,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
2998.394012451172,279,182,418,176,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
3022.7839946746826,416,179,278,185,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
3060.5955123901367,278,190,417,182,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
3086.139678955078,279,195,417,187,0,0,0,0,6.413301737495225,134.23221973010916,24.545164760985678,-1.5076658742492253,-1.3965698689863484,1.4998837312240059
3117.7926063537598,279,196,417,188,269,54,411,45,2.159660674316073,-2.2046521745923684,-18.797744243060954,-1.51517799807037,0.46800735191230436,-1.6426703841842614
3166.5914058685303,279,195,417,188,269,52,413,47,1.9778853749126775,-1.3565185058849316,-17.60263249030421,-1.510551974777591,0.4887555079085357,-1.6461660541922682
3197.9169845581055,280,197,418,190,270,56,413,46,2.1774263300756154,-1.79697767966422,-19.515991724981415,-1.5235331542708137,0.4412701570273571,-1.6435800304217925
3229.947805404663,281,200,419,192,270,59,414,49,2.2374238768062966,-1.5080143685230745,-19.175891148343332,-1.522585327821384,0.4349470275529502,-1.645587404681222
3262.275218963623,282,202,420,194,270,58,414,54,2.1774048185862513,-1.8587832265014725,-17.54237909962675,-1.5133422302264379,0.47244638164532016,-1.6508349525375452
3294.8403358459473,421,192,282,201,0,0,0,0,2.1774048185862513,-1.8587832265014725,-17.54237909962675,-1.5133422302264379,0.47244638164532016,-1.6508349525375452
3326.899766921997,421,191,282,200,0,0,0,0,2.1774048185862513,-1.8587832265014725,-17.54237909962675,-1.5133422302264379,0.47244638164532016,-1.6508349525375452
3364.9094104766846,420,189,281,198,0,0,0,0,2.1774048185862513,-1.8587832265014725,-17.54237909962675,-1.5133422302264379,0.47244638164532016,-1.6508349525375452
3392.4691677093506,419,188,280,195,270,55,413,45,3.5307404313407598,111.43440267826527,27.28797867577532,-0.7915634034014521,-1.406601616976943,1.5449137724760729
