t,u,v,r,X,Y,Z
1344.0701961517334,480,248,26.53,73.25,-3.783333333333333,222
1376.5337467193604,478,252,26.51,72.33437500000001,-5.675,222
1408.4434509277344,476,257,26.5,71.41875,-8.039583333333333,222
1440.0749206542969,475,265,26.59,70.9609375,-11.822916666666666,222
1520.9941864013672,466,278,26.43,66.840625,-17.97083333333333,222
1553.5531044006348,461,285,26.37,64.5515625,-21.28125,222
1560.0993633270264,461,285,26.37,64.5515625,-21.28125,222
1583.2912921905518,454,292,26.26,61.346875000000004,-24.591666666666665,222
1614.5269870758057,447,299,26.21,58.1421875,-27.902083333333334,222
1647.6986408233643,439,306,26.13,54.479687500000004,-31.2125,222
1679.485559463501,432,314,26.05,51.275,-34.99583333333333,222
1712.6543521881104,424,320,26.0,47.612500000000004,-37.83333333333333,222
1744.6224689483643,416,327,25.97,43.95,-41.14375,222
1777.263879776001,408,333,26.06,40.2875,-43.981249999999996,222
1806.8079948425293,401,339,26.07,37.0828125,-46.81875,222
1857.3675155639648,395,345,25.91,34.3359375,-49.65625,222
1887.1665000915527,388,350,25.93,31.13125,-52.02083333333333,222
1921.0083484649658,383,354,25.88,28.8421875,-53.9125,222
1951.9622325897217,379,358,25.85,27.0109375,-55.80416666666667,222
1984.9176406860352,376,360,25.8,25.6375,-56.75,222
2016.8020725250244,374,361,25.77,24.721875,-57.22291666666666,222
2047.3976135253906,374,361,25.76,24.721875,-57.22291666666666,222
2079.9362659454346,374,360,25.49,24.721875,-56.75,222
2111.905097961426,376,358,25.33,25.6375,-55.80416666666667,222
2144.0916061401367,378,355,25.26,26.553125,-54.385416666666664,222
2191.786527633667,382,352,25.2,28.384375000000002,-52.96666666666667,222
2224.1711616516113,386,348,25.21,30.215625,-51.074999999999996,222
2256.429433822632,391,344,25.17,32.5046875,-49.18333333333333,222
2288.5866165161133,396,339,25.23,34.79375,-46.81875,222
2319.9117183685303,402,334,25.31,37.540625,-44.454166666666666,222
2351.7749309539795,408,328,25.17,40.2875,-41.61666666666667,222
2384.758472442627,414,323,25.18,43.034375000000004,-39.25208333333333,222
2416.933298110962,420,318,25.16,45.78125,-36.887499999999996,222
2449.018716812134,426,312,25.19,48.528125,-34.05,222
2497.1821308135986,432,307,25.21,51.275,-31.685416666666665,222
2528.7880897521973,438,302,25.28,54.021875,-29.320833333333333,222
2559.7259998321533,444,296,25.33,56.768750000000004,-26.483333333333334,222
2592.8328037261963,450,291,25.43,59.515625,-24.11875,222
2625.126838684082,456,285,25.49,62.2625,-21.28125,222
2657.0379734039307,462,280,25.53,65.009375,-18.916666666666664,222
2688.2636547088623,467,275,25.81,67.2984375,-16.552083333333332,222
2720.708131790161,472,270,25.77,69.5875,-14.1875,222
2752.9425621032715,477,266,25.82,71.8765625,-12.295833333333333,222
2783.503770828247,481,261,25.89,73.7078125,-9.93125,222
2833.0860137939453,486,257,25.98,75.996875,-8.039583333333333,222
2864.725112915039,490,252,26.09,77.828125,-5.675,222
2897.0894813537598,493,249,26.21,79.20156250000001,-4.25625,222
2928.7712574005127,495,247,26.27,80.1171875,-3.310416666666667,222
2960.981845855713,495,246,26.35,80.1171875,-2.8375,222
2992.166519165039,494,247,26.51,79.659375,-3.310416666666667,222
3023.972272872925,491,248,26.73,78.2859375,-3.783333333333333,222
3056.834936141968,487,251,26.73,76.4546875,-5.202083333333333,222
3088.6318683624268,482,255,26.62,74.165625,-7.09375,222
3119.6181774139404,477,260,26.58,71.8765625,-9.458333333333332,222
3170.640707015991,470,267,26.45,68.671875,-12.768749999999999,222
3199.521541595459,463,274,26.47,65.46718750000001,-16.079166666666666,222
3231.581926345825,456,280,26.29,62.2625,-18.916666666666664,222
3263.418436050415,449,288,26.15,59.057812500000004,-22.7,222
3295.3155040740967,441,295,26.05,55.3953125,-26.010416666666664,222
3328.651189804077,434,303,25.95,52.190625000000004,-29.79375,222
3360.8689308166504,427,311,25.96,48.9859375,-33.577083333333334,222
