t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
2399.822950363159,158,299,210,181,406,289,396,170,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2430.5036067962646,162,299,422,285,167,289,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2462.1663093566895,430,281,170,299,174,288,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2494.642734527588,181,302,186,291,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2526.787757873535,189,310,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2559.3953132629395,199,313,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2591.876983642578,211,318,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2623.7776279449463,0,0,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2655.8775901794434,0,0,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2704.444169998169,0,0,0,0,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2735.917568206787,225,316,229,279,0,0,0,0,-44.92185844649785,8.796030905223247,-8.236247631309542,-1.325188166535032,0.06863402010962853,-1.514645698351532
2767.6749229431152,226,319,230,282,468,272,474,313,41.213120381891805,477.93196610922485,-56.89326936840715,1.3637139022510896,0.007825637301648864,0.18808251780041485
2801.3010025024414,226,328,231,291,467,285,472,326,49.08250162088272,643.002775099248,-91.89551083126977,1.2638632967523828,0.02974213420552138,0.12852964072896064
2831.2535285949707,234,339,245,162,467,337,453,152,-24.196032298105074,0.5904574048065463,-4.8268360775610155,-0.8702954252851766,-0.04875448715658592,-1.618640943701391
2863.8017177581787,240,346,248,135,462,348,453,131,-20.59664957530249,1.3085617633633433,-4.403625990650479,-0.7225251141092245,-0.011578960302009018,-1.6195308176173835
2895.184278488159,242,350,250,145,458,354,453,142,-20.44830111000992,0.21539712023833957,-4.057915887740396,-0.7379683329092702,-0.07193452314068635,-1.6222275372880712
2926.2969493865967,242,349,250,148,453,351,450,148,-20.51135786893703,-1.1728265547161811,-3.8854322321381023,-0.7573832270695428,-0.08385962997191433,-1.6215938277787987
2959.0656757354736,242,342,247,146,450,340,443,143,-20.516035452116704,-0.31828868540887356,-4.32449215108957,-0.7363920769434239,-0.03509592953419972,-1.614251118797672
2992.428779602051,243,337,245,144,442,333,436,140,-19.84762920690253,0.2552311301681378,-4.415024883588632,-0.7029948946535719,-0.005577320026146755,-1.6067678103340708
